#0| 4.2 мм|336| 4.2 мм|71542 |10| 44
#0| 4.3 мм|336| 4.3 мм|71543 |10| 44
#0| 4.4 мм|336| 4.4 мм|71544 |10| 45
#0| 4.5 мм|336| 4.5 мм|      |10| 45
#0| 4.6 мм|336| 4.6 мм|71546 |10| 45
#0| 4.7 мм|336| 4.7 мм|71547 |10| 49
#0| 4.8 мм|336| 4.8 мм|71548 |10| 49
#1|5 мм|336|5 мм||-|                  |subhead mult2 next|
##0| 5.0 мм|336| 5.0 мм|71550 |10| 55
#0| 5.2 мм|336| 5.2 мм|71552 |10| 55
#0| 5.5 мм|336| 5.5 мм|71555 |10| 55
#0|6 мм|336|6 мм||-|                  |subhead|
##0| 6.0 мм|336| 6.0 мм|71560 |10| 60
#0| 6.2 мм|336| 6.2 мм|71562 |10| 60
#0| 6.5 мм|336| 6.5 мм|71565 |10| 66
#0|7-10 мм|336|7-10 мм||-|            |subhead|
#0| 7.0 мм|336| 7.0 мм|71570 |10| 70
#0| 7.5 мм|336| 7.5 мм|71575 |10| 80
##0| 8.0 мм|336| 8.0 мм|71580 | 5| 48
#0| 8.5 мм|336| 8.5 мм|71585 | 5| 48
#0| 9.0 мм|336| 9.0 мм|71590 | 5| 55
#0| 9.5 мм|336| 9.5 мм|71595 |10|111
#0|10.0 мм|336|10.0 мм|71599 | 5| 66
#0|> 10 мм|336|> 10 мм||-|            |subhead|
#0|11.0 мм|336|11.0 мм|72010 | 5| 77
#0|11.5 мм|336|11.5 мм|72015 | 5| 77
#0|12.0 мм|336|12.0 мм|72020 | 5| 99
#0|12.5 мм|336|12.5 мм|72025 | 5| 99
#0|13.5 мм|336|13.5 мм|      | 5|144
#0|14.5 мм|336|14.5 мм|      | 5|188
#0|15.0 мм|336|15.0 мм|72050 | 5|255
#0|15.5 мм|336|15.5 мм|      | 5|444
#0|16.0 мм|336|16.0 мм|72060 | 5|555
#0|18.0 мм|336|18.0 мм|72080 | 5|777
#0|20.0 мм|336|20.0 мм|72099 | 5|990

